code,name
WGSS240,"Transgender Studies"
WGSS285,"Biology of Difference"
WGSS286,"History of Sexuality and Race in the U.S."
WGSS290B,"Introduction to Sexuality and Trans Studies: Movements for Justice in the Contemporary World"
WGSS292R,"Sex, Love, and Relationships"
WGSS295S,"Sexual Liberation: The 1970s"
WGSS298,"Practicum"
WGSS298C,"Center for Women and Community Practicum"
WGSS298D,"Center for Women and Community Practicum"
WGSS301,"Theorizing Gender, Race and Power"
WGSS310,"Writing for Women, Gender, Sexuality Studies Majors"
WGSS320,"Rape and Representation"
WGSS340,"Critical Prison Studies"
WGSS360,"Asian American Feminisms"
WGSS392J,"Feminisms and Environmental Justice"
WGSS392T,"Reading Transgender"
WGSS393M,"Everything to Expect While You're Expecting: Confronting Pregnancy Loss"
WGSS395J,"Imagining Justice"
WGSS492G,"Gender and U.S. Empire"
WGSS494TI,"Unthinking the Transnational"
WGSS597F,"South Asian Gender and Sexuality Studies"
MATH100,"Basic Mathematics Skills for the Modern World"
MATH101,"Precalculus Algebra with Functions and Graphs"
MATH102,"Analytic Geometry and Trigonometry"
MATH103,"Precalculus Trigonometry"
MATH104,"Algebra, Analytic Geometry, and Trigonometry"
MATH113,"Mathematics for Elementary Teachers I"
MATH114,"Mathematics for Elementary Teachers II"
MATH121,"Linear Methods and Probability for Business"
MATH127,"Calculus for the Life and Social Sciences I"
MATH127H,"Honors Calculus for the Life and Social Sciences I"
MATH128,"Calculus for the Life and Social Sciences II"
MATH131,"Calculus I"
MATH131H,"Calculus I (Honors)"
MATH132,"Calculus II"
MATH132H,"Calculus II (Honors)"
MATH196,"Independent Study"
MATH233,"Multivariable Calculus"
MATH233H,"Multivariable Calculus (Honors)"
MATH235,"Introduction to Linear Algebra"
MATH235H,"Introduction to Linear Algebra (Honors)"
MATH296,"Independent Study"
MATH300,"Fundamental Concepts of Mathematics"
MATH370,"Writing in Mathematics"
STAT108,"Foundations of Data Science"
STAT111,"Elementary Statistics"
STAT240,"Introduction to Statistics"
